text,moral,summary
"In a spell of dry weather, when the Birds could find very little to drink, a thirsty Crow found a pitcher with a little water in it. But the pitcher was high and had a narrow neck, and no matter how he tried, the Crow could not reach the water. The poor thing felt as if he must die of thirst.Then an idea came to him. Picking up some small pebbles, he dropped them into the pitcher one by one. With each pebble the water rose a little higher until at last it was near enough so he could drink.In a pinch a good use of our wits may help us out.",In a pinch a good use of our wits may help us out.,A thirsty crow drinks water from a pitcher by throwing pebbles to raise the water higher.
"Two Goats, frisking gayly on the rocky steeps of a mountain valley, chanced to meet, one on each side of a deep chasm through which poured a mighty mountain torrent. The trunk of a fallen tree formed the only means of crossing the chasm, and on this not even two squirrels could have passed each other in safety. The narrow path would have made the bravest tremble. Not so our Goats. Their pride would not permit either to stand aside for the other.One set her foot on the log. The other did likewise. In the middle they met horn to horn. Neither would give way, and so they both fell, to be swept away by the roaring torrent below.It is better to yield than to come to misfortune through stubbornness.",It is better to yield than to come to misfortune through stubbornness.,A giant oak mocks slender reeds for bowing in wind but gets torn up by the roots in a hurricane.
"A Wild Boar was sharpening his tusks busily against the stump of a tree, when a Fox happened by. Now the Fox was always looking for a chance to make fun of his neighbors. So he made a great show of looking anxiously about, as if in fear of some hidden enemy. But the Boar kept right on with his work.""Why are you doing that?"" asked the Fox at last with a grin. ""There isn't any danger that I can see.""""True enough,"" replied the Boar, ""but when danger does come there will not be time for such work as this. My weapons will have to be ready for use then, or I shall suffer for it.""Preparedness for war is the best guarantee of peace.",Preparedness for war is the best guarantee of peace.,The fox invites the stork for dinner and serves soup in a shallow dish. The stork invites fox for dinner and serves fish in a tall jar.
"The Fox one day thought of a plan to amuse himself at the expense of the Stork, at whose odd appearance he was always laughing.""You must come and dine with me today,"" he said to the Stork, smiling to himself at the trick he was going to play. The Stork gladly accepted the invitation and arrived in good time and with a very good appetite.For dinner the Fox served soup. But it was set out in a very shallow dish, and all the Stork could do was to wet the very tip of his bill. Not a drop of soup could he get. But the Fox lapped it up easily, and, to increase the disappointment of the Stork, made a great show of enjoyment.The hungry Stork was much displeased at the trick, but he was a calm, even-tempered fellow and saw no good in flying into a rage. Instead, not long afterward, he invited the Fox to dine with him in turn. The Fox arrived promptly at the time that had been set, and the Stork served a fish dinner that had a very appetizing smell. But it was served in a tall jar with a very narrow neck. The Stork could easily get at the food with his long bill, but all the Fox could do was to lick the outside of the jar, and sniff at the delicious odor. And when the Fox lost his temper, the Stork said calmly:Do not play tricks on your neighbors unless you can stand the same treatment yourself.",Do not play tricks on your neighbors unless you can stand the same treatment yourself.,A wild boar is sharpening his tusks to be ready for when danger comes.
"One bright evening as the sun was sinking on a glorious world a wise old Cock flew into a tree to roost. Before he composed himself to rest, he flapped his wings three times and crowed loudly. But just as he was about to put his head under his wing, his beady eyes caught a flash of red and a glimpse of a long pointed nose, and there just below him stood Master Fox.""Have you heard the wonderful news?"" cried the Fox in a very joyful and excited manner.""What news?"" asked the Cock very calmly. But he had a queer, fluttery feeling inside him, for, you know, he was very much afraid of the Fox.""Your family and mine and all other animals have agreed to forget their differences and live in peace and friendship from now on forever. Just think of it! I simply cannot wait to embrace you! Do come down, dear friend, and let us celebrate the joyful event.""""How grand!"" said the Cock. ""I certainly am delighted at the news."" But he spoke in an absent way, and stretching up on tiptoes, seemed to be looking at something afar off.""What is it you see?"" asked the Fox a little anxiously.""Why, it looks to me like a couple of Dogs coming this way. They must have heard the good news and""But the Fox did not wait to hear more. Off he started on a run.""Wait,"" cried the Cock. ""Why do you run? The Dogs are friends of yours now!""""Yes,"" answered the Fox. ""But they might not have heard the news. Besides, I have a very important errand that I had almost forgotten about.""The Cock smiled as he buried his head in his feathers and went to sleep, for he had succeeded in outwitting a very crafty enemy.The trickster is easily tricked.",The trickster is easily tricked.,Fox tells old cock that all animals agreed to live in peace but runs when It hears there are a couple of dogs coming.
"A Heron was walking sedately along the bank of a stream, his eyes on the clear water, and his long neck and pointed bill ready to snap up a likely morsel for his breakfast. The clear water swarmed with fish, but Master Heron was hard to please that morning.""No small fry for me,"" he said. ""Such scanty fare is not fit for a Heron.""Now a fine young Perch swam near.""No indeed,"" said the Heron. ""I wouldn't even trouble to open my beak for anything like that!""As the sun rose, the fish left the shallow water near the shore and swam below into the cool depths toward the middle. The Heron saw no more fish, and very glad was he at last to breakfast on a tiny Snail.Do not be too hard to suit or you may have to be content with the worst or with nothing at all.",Do not be too hard to suit or you may have to be content with the worst or with nothing at all.,A heron does not want small fry for breakfast and all the fish leave.
"A Stag, drinking from a crystal spring, saw himself mirrored in the clear water. He greatly admired the graceful arch of his antlers, but he was very much ashamed of his spindling legs.""How can it be,"" he sighed, ""that I should be cursed with such legs when I have so magnificent a crown.""At that moment he scented a panther and in an instant was bounding away through the forest. But as he ran his wide-spreading antlers caught in the branches of the trees, and soon the Panther overtook him. Then the Stag perceived that the legs of which he was so ashamed would have saved him had it not been for the useless ornaments on his head.We often make much of the ornamental and despise the useful.",We often make much of the ornamental and despise the useful.,"A stag admires his antlers and is ashamed of his spindling legs but when a panther chases him, the antlers get caught while the legs would have saved him."
"A Fox fell into a well, and though it was not very deep, he found that he could not get out again. After he had been in the well a long time, a thirsty Goat came by. The Goat thought the Fox had gone down to drink, and so he asked if the water was good.""The finest in the whole country,"" said the crafty Fox, ""jump in and try it. There is more than enough for both of us.""The thirsty Goat immediately jumped in and began to drink. The Fox just as quickly jumped on the Goat's back and leaped from the tip of the Goat's horns out of the wellThe foolish Goat now saw what a plight he had got into, and begged the Fox to help him out. But the Fox was already on his way to the woods""If you had as much sense as you have beard, old fellow,"" he said as he ran, ""you would have been more cautious about finding a way to get out again before you jumped in.""Look before you leap.",Look before you leap.,A fox tricks a thirsty goat into jumping into a well to leap out of the well.
"A Fox and a Leopard, resting lazily after a generous dinner, amused themselves by disputing about their good looks. The Leopard was very proud of his glossy, spotted coat and made disdainful remarks about the Fox, whose appearance he declared was quite ordinary.The Fox prided himself on his fine bushy tail with its tip of white, but he was wise enough to see that he could not rival the Leopard in looks. Still he kept up a flow of sarcastic talk, just to exercise his wits and to have the fun of disputing. The Leopard was about to lose his temper when the Fox got up, yawning lazily.""You may have a very smart coat,"" he said, ""but you would be a great deal better off if you had a little more smartness inside your head and less on your ribs, the way I am. That's what I call real beauty.""A fine coat is not always an indication of an attractive mind.",A fine coat is not always an indication of an attractive mind.,A fox uses smartness to make a leopard lose his temper on the dispute of their good looks.
"A young Mouse in search of adventure was running along the bank of a pond where lived a Frog. When the Frog saw the Mouse, he swam to the bank and croaked:""Won't you pay me a visit? I can promise you a good time if you do.""The Mouse did not need much coaxing, for he was very anxious to see the world and everything in it. But though he could swim a little, he did not dare risk going into the pond without some help.The Frog had a plan. He tied the Mouse's leg to his own with a tough reed. Then into the pond he jumped, dragging his foolish companion with him.The Mouse soon had enough of it and wanted to return to shore; but the treacherous Frog had other plans. He pulled the Mouse down under the water and drowned him. But before he could untie the reed that bound him to the dead Mouse, a Hawk came sailing over the pond. Seeing the body of the Mouse floating on the water, the Hawk swooped down, seized the Mouse and carried it off, with the Frog dangling from its leg. Thus at one swoop he had caught both meat and fish for his dinner.Those who seek to harm others often come to harm themselves through their own deceit.",Those who seek to harm others often come to harm themselves through their own deceit.,A beetle rolls out all eagle's eggs out of the nest because the eagle pounced upon a hare which came to the beetle for protection.
"A certain Wolf could not get enough to eat because of the watchfulness of the Shepherds. But one night he found a sheep skin that had been cast aside and forgotten. The next day, dressed in the skin, the Wolf strolled into the pasture with the Sheep. Soon a little Lamb was following him about and was quickly led away to slaughter.That evening the Wolf entered the fold with the flock. But it happened that the Shepherd took a fancy for mutton broth that very evening, and, picking up a knife, went to the fold. There the first he laid hands on and killed was the Wolf.The evil doer often comes to harm through his own deceit.",The evil doer often comes to harm through his own deceit.,"A treacherous frog drowns a mouse by tying his legs to the mouse's, but gets swooped by a hawk."
"A Beetle once begged the Eagle to spare a Hare which had run to her for protection. But the Eagle pounced upon her prey, the sweep of her great wings tumbling the Beetle a dozen feet away. Furious at the disrespect shown her, the Beetle flew to the Eagle's nest and rolled out the eggs. Not one did she spare. The Eagle's grief and anger knew no bounds, but who had done the cruel deed she did not know.Next year the Eagle built her nest far up on a mountain crag; but the Beetle found it and again destroyed the eggs. In despair the Eagle now implored great Jupiter to let her place her eggs in his lap. There none would dare harm them. But the Beetle buzzed about Jupiter's head, and made him rise to drive her away; and the eggs rolled from his lap.Now the Beetle told the reason for her action, and Jupiter had to acknowledge the justice of her cause. And they say that ever after, while the Eagle's eggs lie in the nest in spring, the Beetle still sleeps in the ground. For so Jupiter commanded.Even the weakest may find means to avenge a wrong.",Even the weakest may find means to avenge a wrong.,"A wolf dresses in the skin of a sheep and slaughters a lamb. That very evening, the wolf gets killed by the shepherd who fancied himself mutton broth."
"Early one morning a hungry Wolf was prowling around a cottage at the edge of a village, when he heard a child crying in the house. Then he heard the Mother's voice say:""Hush, child, hush! Stop your crying, or I will give you to the Wolf!""Surprised but delighted at the prospect of so delicious a meal, the Wolf settled down under an open window, expecting every moment to have the child handed out to him. But though the little one continued to fret, the Wolf waited all day in vain. Then, toward nightfall, he heard the Mother's voice again as she sat down near the window to sing and rock her baby to sleep.""There, child, there! The Wolf shall not get you. No, no! Daddy is watching and Daddy will kill him if he should come near!""Just then the Father came within sight of the home, and the Wolf was barely able to save himself from the Dogs by a clever bit of running.Do not believe everything you hear.",Do not believe everything you hear.,A hare and a tortoise race but the hare sleeps while the tortoise keeps going slowly and steadily.
"A Hare was making fun of the Tortoise one day for being so slow.""Do you ever get anywhere?"" he asked with a mocking laugh.""Yes,"" replied the Tortoise, ""and I get there sooner than you think. I'll run you a race and prove it.""The Hare was much amused at the idea of running a race with the Tortoise, but for the fun of the thing he agreed. So the Fox, who had consented to act as judge, marked the distance and started the runners off.The Hare was soon far out of sight, and to make the Tortoise feel very deeply how ridiculous it was for him to try a race with a Hare, he lay down beside the course to take a nap until the Tortoise should catch up.The Tortoise meanwhile kept going slowly but steadily, and, after a time, passed the place where the Hare was sleeping. But the Hare slept on very peacefully; and when at last he did wake up, the Tortoise was near the goal. The Hare now ran his swiftest, but he could not overtake the Tortoise in time.The race is not always to the swift.",The race is not always to the swift.,A wolf for a mother to hand out the child but runs away when it hears that daddy will kill him if he should come near.
"A Dove saw an Ant fall into a brook. The Ant struggled in vain to reach the bank, and in pity, the Dove dropped a blade of straw close beside it. Clinging to the straw like a shipwrecked sailor to a broken spar, the Ant floated safely to shore.Soon after, the Ant saw a man getting ready to kill the Dove with a stone. But just as he cast the stone, the Ant stung him in the heel, so that the pain made him miss his aim, and the startled Dove flew to safety in a distant wood.A kindness is never wasted.",A kindness is never wasted.,A man and satyr become friends but the satry says goodbye when the man when he blows hot and cold in the same breath.
"A long time ago a Man met a Satyr in the forest and succeeded in making friends with him. The two soon became the best of comrades, living together in the Man's hut. But one cold winter evening, as they were walking homeward, the Satyr saw the Man blow on his fingers.""Why do you do that?"" asked the Satyr.""To warm my hands,"" the Man replied.When they reached home the Man prepared two bowls of porridge. These he placed steaming hot on the table, and the comrades sat down very cheerfully to enjoy the meal. But much to the Satyr's surprise, the Man began to blow into his bowl of porridge.""Why do you do that?"" he asked.""To cool my porridge,"" replied the Man.The Satyr sprang hurriedly to his feet and made for the door.""Goodby,"" he said, ""I've seen enough. A fellow that blows hot and cold in the same breath cannot be friends with me!""The man who talks for both sides is not to be trusted by either.",The man who talks for both sides is not to be trusted by either.,A dove saves a drowning ant and the ant repays the kindness by stinging a man in the heel to make him miss his aim on the dove.
"One bright morning as the Fox was following his sharp nose through the wood in search of a bite to eat, he saw a Crow on the limb of a tree overhead. This was by no means the first Crow the Fox had ever seen. What caught his attention this time and made him stop for a second look, was that the lucky Crow held a bit of cheese in her beak.""No need to search any farther,"" thought sly Master Fox. ""Here is a dainty bite for my breakfast.""Up he trotted to the foot of the tree in which the Crow was sitting, and looking up admiringly, he cried, ""Good-morning, beautiful creature!""The Crow, her head cocked on one side, watched the Fox suspiciously. But she kept her beak tightly closed on the cheese and did not return his greeting.""What a charming creature she is!"" said the Fox. ""How her feathers shine! What a beautiful form and what splendid wings! Such a wonderful Bird should have a very lovely voice, since everything else about her is so perfect. Could she sing just one song, I know I should hail her Queen of Birds.""Listening to these flattering words, the Crow forgot all her suspicion, and also her breakfast. She wanted very much to be called Queen of Birds.So she opened her beak wide to utter her loudest caw, and down fell the cheese straight into the Fox's open mouth.""Thank you,"" said Master Fox sweetly, as he walked off. ""Though it is cracked, you have a voice sure enough. But where are your wits?""The flatterer lives at the expense of those who will listen to him.",The flatterer lives at the expense of those who will listen to him.,A fox flatters a crow and makes him sing and thus drop the bit of cheese he held in his beak.
"A Dog, to whom the butcher had thrown a bone, was hurrying home with his prize as fast as he could go. As he crossed a narrow footbridge, he happened to look down and saw himself reflected in the quiet water as if in a mirror. But the greedy Dog thought he saw a real Dog carrying a bone much bigger than his own.If he had stopped to think he would have known better. But instead of thinking, he dropped his bone and sprang at the Dog in the river, only to find himself swimming for dear life to reach the shore. At last he managed to scramble out, and as he stood sadly thinking about the good bone he had lost, he realized what a stupid Dog he had been.It is very foolish to be greedy.",It is very foolish to be greedy.,A poor fisherman does not spare the little fish because the little fish is better than nothing at all.
"A poor Fisherman, who lived on the fish he caught, had bad luck one day and caught nothing but a very small fry. The Fisherman was about to put it in his basket when the little Fish said:""Please spare me, Mr. Fisherman! I am so small it is not worth while to carry me home. When I am bigger, I shall make you a much better meal.""But the Fisherman quickly put the fish into his basket.""How foolish I should be,"" he said, ""to throw you back. However small you may be, you are better than nothing at all.""A small gain is worth more than a large promise.",A small gain is worth more than a large promise.,A fox tries to deceive the cock but gets paid in his own coin when seized by the dog.
"The Lion had been badly hurt by the horns of a Goat, which he was eating. He was very angry to think that any animal that he chose for a meal, should be so brazen as to wear such dangerous things as horns to scratch him while he ate. So he commanded that all animals with horns should leave his domains within twenty-four hours.The command struck terror among the beasts. All those who were so unfortunate as to have horns, began to pack up and move out. Even the Hare, who, as you know, has no horns and so had nothing to fear, passed a very restless night, dreaming awful dreams about the fearful Lion.And when he came out of the warren in the early morning sunshine, and there saw the shadow cast by his long and pointed ears, a terrible fright seized him.""Goodby, neighbor Cricket,"" he called. ""I'm off. He will certainly make out that my ears are horns, no matter what I say.""Do not give your enemies the slightest reason to attack your reputation. Your enemies will seize any excuse to attack you.",Do not give your enemies the slightest reason to attack your reputation. Your enemies will seize any excuse to attack you.,The hare leaves the forest even though it has no reason to as the lion will make out its ears to be horns no matter what it says.
"""Why in the world do you walk sideways like that?"" said a Mother Crab to her son. ""You should always walk straight forward with your toes turned out.""""Show me how to walk, mother dear,"" answered the little Crab obediently, ""I want to learn.""So the old Crab tried and tried to walk straight forward. But she could walk sideways only, like her son. And when she wanted to turn her toes out she tripped and fell on her nose.Do not tell others how to act unless you can set a good example.",Do not tell others how to act unless you can set a good example.,A dog tries to go after a dog with a bigger bone only to lose the good bone he had.
"A Dog and a Cock, who were the best of friends, wished very much to see something of the world. So they decided to leave the farmyard and to set out into the world along the road that led to the woods. The two comrades traveled along in the very best of spirits and without meeting any adventure to speak of.At nightfall the Cock, looking for a place to roost, as was his custom, spied nearby a hollow tree that he thought would do very nicely for a night's lodging. The Dog could creep inside and the Cock would fly up on one of the branches. So said, so done, and both slept very comfortably.With the first glimmer of dawn the Cock awoke. For the moment he forgot just where he was. He thought he was still in the farmyard where it had been his duty to arouse the household at daybreak. So standing on tip-toes he flapped his wings and crowed lustily. But instead of awakening the farmer, he awakened a Fox not far off in the wood. The Fox immediately had rosy visions of a very delicious breakfast. Hurrying to the tree where the Cock was roosting, he said very politely:""A hearty welcome to our woods, honored sir. I cannot tell you how glad I am to see you here. I am quite sure we shall become the closest of friends.""""I feel highly flattered, kind sir,"" replied the Cock slyly. ""If you will please go around to the door of my house at the foot of the tree, my porter will let you in.""The hungry but unsuspecting Fox, went around the tree as he was told, and in a twinkling the Dog had seized him.Those who try to deceive may expect to be paid in their own coin.",Those who try to deceive may expect to be paid in their own coin.,"A mother crab tries to make her son walk straight but fails at it herself, trips and falls on her nose."
"An Eagle, swooping down on powerful wings, seized a lamb in her talons and made off with it to her nest. A Jackdaw saw the deed, and his silly head was filled with the idea that he was big and strong enough to do as the Eagle had done. So with much rustling of feathers and a fierce air, he came down swiftly on the back of a large Ram. But when he tried to rise again he found that he could not get away, for his claws were tangled in the wool. And so far was he from carrying away the Ram, that the Ram hardly noticed he was there.The Shepherd saw the fluttering Jackdaw and at once guessed what had happened. Running up, he caught the bird and clipped its wings. That evening he gave the Jackdaw to his children.""What a funny bird this is!"" they said laughing, ""what do you call it, father?""""That is a Jackdaw, my children. But if you should ask him, he would say he is an Eagle.""Do not let your vanity make you overestimate your powers.",Do not let your vanity make you overestimate your powers.,A jackdaw fills his head with the idea that he was big and strong enough as an eagle but gets caught by shepherd and gets his wings cut off.
"The Tortoise, you know, carries his house on his back. No matter how hard he tries, he cannot leave home. They say that Jupiter punished him so, because he was such a lazy stay-at-home that he would not go to Jupiter's wedding, even when especially invited.After many years, Tortoise began to wish he had gone to that wedding. When he saw how gaily the birds flew about and how the Hare and the Chipmunk and all the other animals ran nimbly by, always eager to see everything there was to be seen, the Tortoise felt very sad and discontented. He wanted to see the world too, and there he was with a house on his back and little short legs that could hardly drag him along.One day he met a pair of Ducks and told them all his trouble.""We can help you to see the world,"" said the Ducks. ""Take hold of this stick with your teeth and we will carry you far up in the air where you can see the whole countryside. But keep quiet or you will be sorry.""The Tortoise was very glad indeed. He seized the stick firmly with his teeth, the two Ducks took hold of it one at each end, and away they sailed up toward the clouds.Just then a Crow flew by. He was very much astonished at the strange sight and cried:""This must surely be the King of Tortoises!""""Why certainly"" began the Tortoise.But as he opened his mouth to say these foolish words he lost his hold on the stick, and down he fell to the ground, where he was dashed to pieces on a rock.Foolish curiosity and vanity often lead to misfortune.",Foolish curiosity and vanity often lead to misfortune.,A pair of ducks agree to help the tortoise see the world but ask him to keep quiet. But the tortoise opens his mouth and falls to the ground.
"""A frisky young Kid had been left by the herdsman on the thatched roof of a sheep shelter to keep him out of harm's way. The Kid was browsing near the edge of the roof, when he spied a Wolf and began to jeer at him, making faces and abusing him to his heart's content.""I hear you,"" said the Wolf, ""and I haven't the least grudge against you for what you say or do. When you are up there it is the roof that's talking, not you.""Do not say anything at any time that you would not say at all times.",Do not say anything at any time that you would not say at all times.,A kid jeers and abuses a wolf from the top of a thatched roof and the wolf says that it was the roof talking and not the kid.
"A Boy was given permission to put his hand into a pitcher to get some filberts. But he took such a great fistful that he could not draw his hand out again. There he stood, unwilling to give up a single filbert and yet unable to get them all out at once. Vexed and disappointed he began to cry.""My boy,"" said his mother, ""be satisfied with half the nuts you have taken and you will easily get your hand out. Then perhaps you may have some more filberts some other time.""Do not attempt too much at once.",Do not attempt too much at once.,"A wolf strikes a merry tune before eating a little kid, and the shepherd dogs recognise the song and come after him."
