answer_id,document_id,question_id,text,answer_start,answer_end,answer_category,question,file_name,context
659583,1286228,617805,Eagle,3,8,,Who took the lamb?,,"An Eagle, swooping down on powerful wings, seized a lamb in her talons and made off with it to her nest. A Jackdaw saw the deed, and his silly head was filled with the idea that he was big and strong enough to do as the Eagle had done. So with much rustling of feathers and a fierce air, he came down swiftly"
659588,1286228,617806,Jackdaw ,107,115,,Who tried to take the Ram?,,"An Eagle, swooping down on powerful wings, seized a lamb in her talons and made off with it to her nest. A Jackdaw saw the deed, and his silly head was filled with the idea that he was big and strong enough to do as the Eagle had done. So with much rustling of feathers and a fierce air, he came down swiftly on the back of a large Ram. But when he tried to rise again he found that he could not get away, for his c"
659598,1286228,617807,Eagle,876,881,,What does the Shepherd say the Jackdaw would call himself?,," at once guessed what had happened. Running up, he caught the bird and clipped its wings. That evening he gave the Jackdaw to his children.""What a funny bird this is!"" they said laughing, ""what do you call it, father?""""That is a Jackdaw, my children. But if you should ask him, he would say he is an Eagle.""Do not let your vanity make you overestimate your powers."
659606,1286229,617808,"Jupiter punished him so, because he was such a lazy stay-at-home that he would not go to Jupiter's wedding",120,226,,Why does the tortoise carry a house on its back?,,"The Tortoise, you know, carries his house on his back. No matter how hard he tries, he cannot leave home. They say that Jupiter punished him so, because he was such a lazy stay-at-home that he would not go to Jupiter's wedding, even when especially invited.After many years, Tortoise began to wish he had gone to that wedding. When he saw how gaily the birds flew about and how the Hare and the Chipmunk and all the other animals ran nimbly by, always eager to see everything there was to be seen, the Tortoise felt very sad a"
659613,1286229,617809,Take hold of this stick with your teeth and we will carry you far up in the air where you can see the whole countryside.,786,906,,How did the Ducks offer to help?,,"to be seen, the Tortoise felt very sad and discontented. He wanted to see the world too, and there he was with a house on his back and little short legs that could hardly drag him along.One day he met a pair of Ducks and told them all his trouble.""We can help you to see the world,"" said the Ducks. ""Take hold of this stick with your teeth and we will carry you far up in the air where you can see the whole countryside. But keep quiet or you will be sorry.""The Tortoise was very glad indeed. He seized the stick firmly with his teeth, the two Ducks took hold of it one at each end, and away they sailed up toward the clouds.Just then a Crow flew by. He was very much astonished at the strange sight and cried:""This must"
659614,1286229,617810,keep quiet,911,921,,What did the Ducks want the tortoise to do?,," back and little short legs that could hardly drag him along.One day he met a pair of Ducks and told them all his trouble.""We can help you to see the world,"" said the Ducks. ""Take hold of this stick with your teeth and we will carry you far up in the air where you can see the whole countryside. But keep quiet or you will be sorry.""The Tortoise was very glad indeed. He seized the stick firmly with his teeth, the two Ducks took hold of it one at each end, and away they sailed up toward the clouds.Just then a Crow flew by. He was very much astonished at the strange sight and cried:""This must surely be the "
659627,1286229,617811,he opened his mouth,1282,1301,,Why did the tortoise fall?,,"seized the stick firmly with his teeth, the two Ducks took hold of it one at each end, and away they sailed up toward the clouds.Just then a Crow flew by. He was very much astonished at the strange sight and cried:""This must surely be the King of Tortoises!""""Why certainly"" began the Tortoise.But as he opened his mouth to say these foolish words he lost his hold on the stick, and down he fell to the ground, where he was dashed to pieces on a rock.Foolish curiosity and vanity often lead to misfortune."
659643,1286230,617812,to keep him out of harm's way,90,119,,Why did the herdsman leave the kid on the roof?,,"""A frisky young Kid had been left by the herdsman on the thatched roof of a sheep shelter to keep him out of harm's way. The Kid was browsing near the edge of the roof, when he spied a Wolf and began to jeer at him, making faces and abusing him to his heart's content.""I hear you,"" said the Wolf, ""and I haven't the least grudge against you for what you say or do. When you are up there it is the roof that's talking, n"
659650,1286230,617813,"When you are up there it is the roof that's talking, not you",365,425,,Why does the wolf say that he does not hold a grudge?,," roof of a sheep shelter to keep him out of harm's way. The Kid was browsing near the edge of the roof, when he spied a Wolf and began to jeer at him, making faces and abusing him to his heart's content.""I hear you,"" said the Wolf, ""and I haven't the least grudge against you for what you say or do. When you are up there it is the roof that's talking, not you.""Do not say anything at any time that you would not say at all times."
659652,1286230,617814,"began to jeer at him, making faces and abusing him",194,244,,What did the kid do when he saw the wolf?,,"""A frisky young Kid had been left by the herdsman on the thatched roof of a sheep shelter to keep him out of harm's way. The Kid was browsing near the edge of the roof, when he spied a Wolf and began to jeer at him, making faces and abusing him to his heart's content.""I hear you,"" said the Wolf, ""and I haven't the least grudge against you for what you say or do. When you are up there it is the roof that's talking, not you.""Do not say anything at any time that you would not say at all times."
660662,1286231,617824,growing horns,34,47,,What made the kid think he can take care of himself?,,"There was once a little Kid whose growing horns made him think he was a grown-up Billy Goat and able to take care of himself. So one evening when the flock started home from the pasture and his mother called, the Kid paid no heed and kept right on nibbling the tender grass. A little later when he lifted his head, the flock was gone.He was all al"
660681,1286231,617825,kept right on nibbling the tender grass.,234,274,,How did the kid get lost?,,"There was once a little Kid whose growing horns made him think he was a grown-up Billy Goat and able to take care of himself. So one evening when the flock started home from the pasture and his mother called, the Kid paid no heed and kept right on nibbling the tender grass. A little later when he lifted his head, the flock was gone.He was all alone. The sun was sinking. Long shadows came creeping over the ground. A chilly little wind came creeping with them making scary noises in the grass. The Kid shivered as he thought of the terrible Wolf. Then he started wildly ov"
660691,1286231,617826,pipe me a tune,805,819,,What did the kid ask of the wolf?,,"hivered as he thought of the terrible Wolf. Then he started wildly over the field, bleating for his mother. But not half-way, near a clump of trees, there was the Wolf!The Kid knew there was little hope for him.""Please, Mr. Wolf,"" he said trembling, ""I know you are going to eat me. But first please pipe me a tune, for I want to dance and be merry as long as I can.""The Wolf liked the idea of a little music before eating, so he struck up a merry tune and the Kid leaped and frisked gaily.Meanwhile, the flock was moving slowly homeward. In the still evening air the Wolf's piping carried far. The Shepherd Dogs p"
660698,1286232,617827, he took such a great fistful ,83,113,,Why could the buy not draw out his hand?,,"A Boy was given permission to put his hand into a pitcher to get some filberts. But he took such a great fistful that he could not draw his hand out again. There he stood, unwilling to give up a single filbert and yet unable to get them all out at once. Vexed and disappointed he began to cry.""My boy,"" said his mother, ""be satisfied with half the nuts you have taken and you will easily get your hand out. Then p"
660708,1286233,617828,deep mud,127,135,,Why was it difficult for the horses to drag the load?,,"A Farmer was driving his wagon along a miry country road after a heavy rain. The horses could hardly drag the load through the deep mud, and at last came to a standstill when one of the wheels sank to the hub in a rut.The farmer climbed down from his seat and stood beside the wagon looking at it but without making the least effort to get it out of the rut. All he did was to curse his bad luck and call loudly on Hercules to come to "
660717,1286233,617829,"Put your shoulder to the wheel, man, and urge on your horses.",498,559,,How did Hercules say the wagon could get out of the rut?,,"to the hub in a rut.The farmer climbed down from his seat and stood beside the wagon looking at it but without making the least effort to get it out of the rut. All he did was to curse his bad luck and call loudly on Hercules to come to his aid. Then, it is said, Hercules really did appear, saying:""Put your shoulder to the wheel, man, and urge on your horses. Do you think you can move the wagon by simply looking at it and whining about it? Hercules will not help unless you make some effort to help yourself.""And when the farmer put his shoulder to the wheel and urged on the horses, the wagon moved very readily, and soon the Farmer was riding along in gre"
660724,1286233,617830, you make some effort to help yourself.,671,710,,When will Hercules help you?,,"as to curse his bad luck and call loudly on Hercules to come to his aid. Then, it is said, Hercules really did appear, saying:""Put your shoulder to the wheel, man, and urge on your horses. Do you think you can move the wagon by simply looking at it and whining about it? Hercules will not help unless you make some effort to help yourself.""And when the farmer put his shoulder to the wheel and urged on the horses, the wagon moved very readily, and soon the Farmer was riding along in great content and with a good lesson learned.Self help is the best help.
"
660725,1286233,617831,curse his bad luck and call loudly on Hercules to come to his aid,377,442,,What did the farmer do when the wagon got stuck in a rut?,,"The horses could hardly drag the load through the deep mud, and at last came to a standstill when one of the wheels sank to the hub in a rut.The farmer climbed down from his seat and stood beside the wagon looking at it but without making the least effort to get it out of the rut. All he did was to curse his bad luck and call loudly on Hercules to come to his aid. Then, it is said, Hercules really did appear, saying:""Put your shoulder to the wheel, man, and urge on your horses. Do you think you can move the wagon by simply looking at it and whining about it? Hercules will not help unless you make some effort to help yourself.""And when the farmer put his sho"
660726,1286234,617832,gold,187,191,,What did the travellers guess the purse to have?,,"Two men were traveling in company along the road when one of them picked up a well-filled purse.""How lucky I am!"" he said. ""I have found a purse. Judging by its weight it must be full of gold.""""Do not say 'I have found a purse,'"" said his companion. ""Say rather 'we have found a purse' and 'how lucky we are.' Travelers ought to share alike the fortunes or misfortunes of the road.""""No, no,"" replied the other angrily. ""I found it and I am going to keep it.""Just then they heard a shout of """
660727,1286234,617833,"""I found it and I am going to keep it",419,456,,What did the first traveller say when the second traveller said fortunes and misfortunes have to be shared alike?,,"id. ""I have found a purse. Judging by its weight it must be full of gold.""""Do not say 'I have found a purse,'"" said his companion. ""Say rather 'we have found a purse' and 'how lucky we are.' Travelers ought to share alike the fortunes or misfortunes of the road.""""No, no,"" replied the other angrily. ""I found it and I am going to keep it.""Just then they heard a shout of ""Stop, thief!"" and looking around, saw a mob of people armed with clubs coming down the road.The man who had found the purse fell into a panic.""We are lost if they find the purse on us,"" he cried.""No, no,"" replied the other, ""You would not say 'we' before, so now st"
660728,1286234,617834,thief,497,502,,Who dropped the purse?,,"not say 'I have found a purse,'"" said his companion. ""Say rather 'we have found a purse' and 'how lucky we are.' Travelers ought to share alike the fortunes or misfortunes of the road.""""No, no,"" replied the other angrily. ""I found it and I am going to keep it.""Just then they heard a shout of ""Stop, thief!"" and looking around, saw a mob of people armed with clubs coming down the road.The man who had found the purse fell into a panic.""We are lost if they find the purse on us,"" he cried.""No, no,"" replied the other, ""You would not say 'we' before, so now stick to your 'I'. Say 'I am lost.'""We cannot ex"
660729,1286235,617835,field that had been newly planted,96,129,,Where were all the cranes visiting?,,"A Stork of a very simple and trusting nature had been asked by a gay party of Cranes to visit a field that had been newly planted. But the party ended dismally with all the birds entangled in the meshes of the Farmer's net.The Stork begged the Farmer to spare him.""Please let me go,"" he pleaded. ""I belong to the Stork family who you know are honest and birds of good character. Besides, I did not know the Cranes were going to s"
660730,1286235,617836,Farmer's net,210,222,,What caught the cranes?,,"A Stork of a very simple and trusting nature had been asked by a gay party of Cranes to visit a field that had been newly planted. But the party ended dismally with all the birds entangled in the meshes of the Farmer's net.The Stork begged the Farmer to spare him.""Please let me go,"" he pleaded. ""I belong to the Stork family who you know are honest and birds of good character. Besides, I did not know the Cranes were going to steal.""""You may be a very good bird,"" answered the Farmer, ""but I caught you with the thieving"
660731,1286235,617837,"I belong to the Stork family who you know are honest and birds of good character. Besides, I did not know the Cranes were going to steal.",297,434,,What was the Stork's defence for being present at the field?,,"A Stork of a very simple and trusting nature had been asked by a gay party of Cranes to visit a field that had been newly planted. But the party ended dismally with all the birds entangled in the meshes of the Farmer's net.The Stork begged the Farmer to spare him.""Please let me go,"" he pleaded. ""I belong to the Stork family who you know are honest and birds of good character. Besides, I did not know the Cranes were going to steal.""""You may be a very good bird,"" answered the Farmer, ""but I caught you with the thieving Cranes and you will have to share the same punishment with them.""You are judged by the company you keep."
660732,1286236,617838,discord would lead them to misfortune,218,255,,What did the father believe?,,"A certain Father had a family of Sons, who were forever quarreling among themselves. No words he could say did the least good, so he cast about in his mind for some very striking example that should make them see that discord would lead them to misfortune.One day when the quarreling had been much more violent than usual and each of the Sons was moping in a surly manner, he asked one of them to bring him a bundle of sticks. Then handing the bundle to each of his Sons in turn he told them to try to break it. But although each one tried his best, none "
660733,1286236,617839,he asked one of them to bring him a bundle of sticks. Then handing the bundle to each of his Sons in turn he told them to try to break it.,373,511,,What did the father want the sons to do?,,"themselves. No words he could say did the least good, so he cast about in his mind for some very striking example that should make them see that discord would lead them to misfortune.One day when the quarreling had been much more violent than usual and each of the Sons was moping in a surly manner, he asked one of them to bring him a bundle of sticks. Then handing the bundle to each of his Sons in turn he told them to try to break it. But although each one tried his best, none was able to do so.The Father then untied the bundle and gave the sticks to his Sons to break one by one. This they did very easily.""My Sons,"" said the Father, ""do you not see how certain it is that if you agree with each other and help each other, it will "
660735,1286236,617840,untied the bundle and gave the sticks to his Sons to break one by one. This they did very easily.,589,686,,When were the sons able to break the sticks?,,"een much more violent than usual and each of the Sons was moping in a surly manner, he asked one of them to bring him a bundle of sticks. Then handing the bundle to each of his Sons in turn he told them to try to break it. But although each one tried his best, none was able to do so.The Father then untied the bundle and gave the sticks to his Sons to break one by one. This they did very easily.""My Sons,"" said the Father, ""do you not see how certain it is that if you agree with each other and help each other, it will be impossible for your enemies to injure you? But if you are divided among yourselves, you will be no stronger than a single stick in that bundle.""In unity is strength."
660741,1286236,617841," if you agree with each other and help each other,",752,802,,When will it be impossible for the enemies to hurt the sons?,,"o each of his Sons in turn he told them to try to break it. But although each one tried his best, none was able to do so.The Father then untied the bundle and gave the sticks to his Sons to break one by one. This they did very easily.""My Sons,"" said the Father, ""do you not see how certain it is that if you agree with each other and help each other, it will be impossible for your enemies to injure you? But if you are divided among yourselves, you will be no stronger than a single stick in that bundle.""In unity is strength."
660758,1286237,617842,over the edge of the nearest cliff,236,270,,What seemed to be the quickest way to the ass?,,"An Ass was being driven along a road leading down the mountain side, when he suddenly took it into his silly head to choose his own path. He could see his stall at the foot of the mountain, and to him the quickest way down seemed to be over the edge of the nearest cliff. Just as he was about to leap over, his master caught him by the tail and tried to pull him back, but the stubborn Ass would not yield and pulled with all his might.""Very well,"" said his master, ""go your way, you willful beast, and see where it leads you.""With that he let go, and the foolish Ass tu"
660764,1286237,617843,master caught him by the tail and tried to pull him back,311,367,,How did the master try to prevent the ass from jumping down?,,"being driven along a road leading down the mountain side, when he suddenly took it into his silly head to choose his own path. He could see his stall at the foot of the mountain, and to him the quickest way down seemed to be over the edge of the nearest cliff. Just as he was about to leap over, his master caught him by the tail and tried to pull him back, but the stubborn Ass would not yield and pulled with all his might.""Very well,"" said his master, ""go your way, you willful beast, and see where it leads you.""With that he let go, and the foolish Ass tumbled head over heels down the mountain side.They who will not listen to reason but stubbornly go"
660780,1286238,617844,pair of Oxen ,2,15,,Who did not complain even though they did all the work?,,"A pair of Oxen were drawing a heavily loaded wagon along a miry country road. They had to use all their strength to pull the wagon, but they did not complain.The Wheels of the wagon were of a different sort. Though the task they had to do was very light compared with that of the Oxen, they creaked and groaned at e"
660789,1286238,617845,The Wheels of the wagon,158,181,,Who complained even though they had relatively less work?,,"A pair of Oxen were drawing a heavily loaded wagon along a miry country road. They had to use all their strength to pull the wagon, but they did not complain.The Wheels of the wagon were of a different sort. Though the task they had to do was very light compared with that of the Oxen, they creaked and groaned at every turn. The poor Oxen, pulling with all their might to draw the wagon through the deep mud, had their ears filled with the loud complaining of the Wheels. And this"
660794,1286238,617846,ears filled with the loud complaining of the Wheels,420,471,,What made the work much harder to endure for the oxen?,," the wagon, but they did not complain.The Wheels of the wagon were of a different sort. Though the task they had to do was very light compared with that of the Oxen, they creaked and groaned at every turn. The poor Oxen, pulling with all their might to draw the wagon through the deep mud, had their ears filled with the loud complaining of the Wheels. And this, you may well know, made their work so much the harder to endure.""Silence!"" the Oxen cried at last, out of patience. ""What have you Wheels to complain about so loudly? We are drawing all the weight, not you, and we are keeping still about it besides.""They complain most who suffer least."
660804,1286239,617847,Shepherd laid his hands on it,176,205,,Why did the pig squeal?,,"One day a shepherd discovered a fat Pig in the meadow where his Sheep were pastured. He very quickly captured the porker, which squealed at the top of its voice the moment the Shepherd laid his hands on it. You would have thought, to hear the loud squealing, that the Pig was being cruelly hurt. But in spite of its squeals and struggles to escape, the Shepherd tucked his prize under his arm and started off to the butcher's in the market place.The Sheep in the pasture were much astonished and amused at"
660815,1286239,617848,bacon,930,935,,What does the shepherd want when he captures the pig?,,"e of the Sheep. ""The Shepherd often catches and carries off one of us. But we should feel very much ashamed to make such a terrible fuss about it like you do.""""That is all very well,"" replied the Pig, with a squeal and a frantic kick. ""When he catches you he is only after your wool. But he wants my bacon! gree-ee-ee!""It is easy to be brave when there is no danger."
660819,1286239,617849, wool,907,912,,What does the shepherd want when he captures the sheep?,,"al like that?"" asked one of the Sheep. ""The Shepherd often catches and carries off one of us. But we should feel very much ashamed to make such a terrible fuss about it like you do.""""That is all very well,"" replied the Pig, with a squeal and a frantic kick. ""When he catches you he is only after your wool. But he wants my bacon! gree-ee-ee!""It is easy to be brave when there is no danger."
660830,1286240,617850,He would not honor the fool,254,281,,Why did the lion ignore the ass?,,"One day as the Lion walked proudly down a forest aisle, and the animals respectfully made way for him, an Ass brayed a scornful remark as he passed.The Lion felt a flash of anger. But when he turned his head and saw who had spoken, he walked quietly on. He would not honor the fool with even so much as a stroke of his claws.Do not resent the remarks of a fool. Ignore them."
660836,1286240,617851,"the animals respectfully made way for him, an Ass brayed a scornful remark",60,134,,Why did the lion feel a flash of anger?,,"One day as the Lion walked proudly down a forest aisle, and the animals respectfully made way for him, an Ass brayed a scornful remark as he passed.The Lion felt a flash of anger. But when he turned his head and saw who had spoken, he walked quietly on. He would not honor the fool with even so much as a stroke of his claws.Do not resent the remarks of a fool. Ignore them."
660851,1286241,617853,"He cannot fool us again,""",1297,1322,,Why did the villagers not go to the aid of the boy?,,"etting behind the forest and the shadows were creeping out over the pasture, a Wolf really did spring from the underbrush and fall upon the Sheep.In terror the Boy ran toward the village shouting ""Wolf! Wolf!"" But though the Villagers heard the cry, they did not run to help him as they had before. ""He cannot fool us again,"" they said.The Wolf killed a great many of the Boy's sheep and then slipped away into the forest.Liars are not believed even when they speak the truth."
660843,1286241,617852,talk to his dog or play on his shepherd's pipe,171,217,,What did the boy do to amuse himself?,,"A Shepherd Boy tended his master's Sheep near a dark forest not far from the village. Soon he found life in the pasture very dull. All he could do to amuse himself was to talk to his dog or play on his shepherd's pipe.One day as he sat watching the Sheep and the quiet forest, and thinking what he would do should he see a Wolf, he thought of a plan to amuse himself.His Master had told him to call for help should a Wolf attack the flock, and the Villagers would drive it away. So now, though he had not seen anythin"
660865,1286241,617854,"he ran toward the village shouting at the top of his voice, ""Wolf! Wolf",549,620,,What was the plan the boy thought of to amuse himself?,,"Sheep and the quiet forest, and thinking what he would do should he see a Wolf, he thought of a plan to amuse himself.His Master had told him to call for help should a Wolf attack the flock, and the Villagers would drive it away. So now, though he had not seen anything that even looked like a Wolf, he ran toward the village shouting at the top of his voice, ""Wolf! Wolf!""As he expected, the Villagers who heard the cry dropped their work and ran in great excitement to the pasture. But when they got there they found the Boy doubled up with laughter at the trick he had played on them.A few days later the Shepherd Boy again shouted, ""Wolf! Wolf!"" Again the Villagers r"
660901,1286242,617855,huge log,556,564,,Who did Jupiter send as the first king?,," rule them in a way to make them know they were being ruled. No milk and water government for them, they declared. So they sent a petition to Jupiter asking for a king.Jupiter saw what simple and foolish creatures they were, but to keep them quiet and make them think they had a king he threw down a huge log, which fell into the water with a great splash. The Frogs hid themselves among the reeds and grasses, thinking the new king to be some fearful giant. But they soon discovered how tame and peaceable King Log was. In a short time the younger Frogs were using him for a diving platform, while the older"
660903,1286242,617856, The Crane,1048,1058,,Who did Jupiter send as the second king?,," and peaceable King Log was. In a short time the younger Frogs were using him for a diving platform, while the older Frogs made him a meeting place, where they complained loudly to Jupiter about the government.To teach the Frogs a lesson the ruler of the gods now sent a Crane to be king of Frogland. The Crane proved to be a very different sort of king from old King Log. He gobbled up the poor Frogs right and left and they soon saw what fools they had been. In mournful croaks they begged Jupiter to take away the cruel tyrant before they should all be destroyed.""How now!"" cried Jupiter ""Are you not yet co"
660905,1286242,617857,He gobbled up the poor Frogs right and left,1121,1164,,What did the second king do to the frogs?,," him for a diving platform, while the older Frogs made him a meeting place, where they complained loudly to Jupiter about the government.To teach the Frogs a lesson the ruler of the gods now sent a Crane to be king of Frogland. The Crane proved to be a very different sort of king from old King Log. He gobbled up the poor Frogs right and left and they soon saw what fools they had been. In mournful croaks they begged Jupiter to take away the cruel tyrant before they should all be destroyed.""How now!"" cried Jupiter ""Are you not yet content? You have what you asked for and so you have only yourselves to blame for your misfortunes.""Be sure "
660917,1286243,617858,setting sun cast his shadow far out,91,126,,What made the wolf think he was bigger than he really was?,,"A Wolf left his lair one evening in fine spirits and an excellent appetite. As he ran, the setting sun cast his shadow far out on the ground, and it looked as if the wolf were a hundred times bigger than he really was.""Why,"" exclaimed the Wolf proudly, ""see how big I am! Fancy me running away from a puny Lion! I'll show him who is fit to be king, he or I.""Just then an immense shadow blotted him out entirely, and the next i"
660924,1286243,617859,a Lion ,433,440,,Whose shadow blotted out the wolf's?,," ground, and it looked as if the wolf were a hundred times bigger than he really was.""Why,"" exclaimed the Wolf proudly, ""see how big I am! Fancy me running away from a puny Lion! I'll show him who is fit to be king, he or I.""Just then an immense shadow blotted him out entirely, and the next instant a Lion struck him down with a single blow.Do not let your fancy make you forget realities."
660936,1286244,617860,throwing stones into the pond so as to make them skip on top of the water,117,190,,What is a play to the boys?,,"Some Boys were playing one day at the edge of a pond in which lived a family of Frogs. The Boys amused themselves by throwing stones into the pond so as to make them skip on top of the water.The stones were flying thick and fast and the Boys were enjoying themselves very much; but the poor Frogs in the pond were trembling with fear.At last one of the Frogs, the oldest and bravest, put his head out of the water, and said, ""Oh, please, dear children, stop your cruel play! Though it may b"
660939,1286244,617861, throwing stones into the pond so as to make them skip on top of the water,116,190,,What means death to the frogs?,,"Some Boys were playing one day at the edge of a pond in which lived a family of Frogs. The Boys amused themselves by throwing stones into the pond so as to make them skip on top of the water.The stones were flying thick and fast and the Boys were enjoying themselves very much; but the poor Frogs in the pond were trembling with fear.At last one of the Frogs, the oldest and bravest, put his head out of the water, and said, ""Oh, please, dear children, stop your cruel play! Though it may b"
660968,1286245,617862,Elephant,326,334,,Who was adorned with the most gorgeous trappings?,,"the King's highway. He was a very proud Rat, considering his small size and the bad reputation all Rats have. As Mr. Rat walked alonghe kept mostly to the ditchhe noticed a great commotion up the road, and soon a grand procession came in view. It was the King and his retinue.The King rode on a huge Elephant adorned with the most gorgeous trappings. With the King in his luxurious howdah were the royal Dog and Cat. A great crowd of people followed the procession. They were so taken up with admiration of the Elephant, that the Rat was not noticed. His pride was hurt.""What fools!"" he cried. ""Look at me, a"
660984,1286245,617863, I have eyes and ears and as many legs as he! I am of just as much importance,763,840,,Why did the rat feel that he had to be shown importance?,,"ple followed the procession. They were so taken up with admiration of the Elephant, that the Rat was not noticed. His pride was hurt.""What fools!"" he cried. ""Look at me, and you will soon forget that clumsy Elephant! Is it his great size that makes your eyes pop out? Or is it his wrinkled hide? Why, I have eyes and ears and as many legs as he! I am of just as much importance, and""But just then the royal Cat spied him, and the next instant, the Rat knew he was not quite so important as an Elephant.A resemblance to the great in some things does not make us great."
660989,1286245,617864,His pride,577,586,,Why did the rat feel that he had to be shown importance?,,"the King and his retinue.The King rode on a huge Elephant adorned with the most gorgeous trappings. With the King in his luxurious howdah were the royal Dog and Cat. A great crowd of people followed the procession. They were so taken up with admiration of the Elephant, that the Rat was not noticed. His pride was hurt.""What fools!"" he cried. ""Look at me, and you will soon forget that clumsy Elephant! Is it his great size that makes your eyes pop out? Or is it his wrinkled hide? Why, I have eyes and ears and as many legs as he! I am of just as much importance, and""But just then the royal Cat spied him, a"
